code_length,line_count,avg_line_length,entropy,amsi_keyword_count,has_amsi_keyword,win32_api_count,has_virtualprotect,has_getprocaddress,has_loadlibrary,reflection_count,has_reflection,marshal_op_count,backtick_count,has_format_operator,char_cast_count,string_concat_count,plus_operator_density,has_base64,has_memory_patch_pattern,hex_byte_array,has_page_rwx,dllimport_count,has_add_type,has_registry_amsi,has_ps_downgrade,has_scriptblock_ast,has_hw_breakpoint,has_etw_tamper,has_download_cradle,has_clr_targeting,special_char_ratio,case_ratio,composite_risk,label,label_name,source_id,technique_name
41,1,41.0,4.63780139475645,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14634146341463414,0.30434782608695654,0,0,Benign,BEN-025,Normal_Command
53,1,53.0,4.1989475783432475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07547169811320754,0.16666666666666666,0,0,Benign,BEN-026,Normal_Command
26,1,26.0,3.7773627950641684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.15,0,0,Benign,BEN-027,Normal_Command
59,1,59.0,4.402978219766114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1016949152542373,0.2631578947368421,0,0,Benign,BEN-028,Normal_Command
22,1,22.0,3.8796640049025934,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545454545456,0.3125,0,0,Benign,BEN-029,Normal_Command
79,1,79.0,4.694600161538013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1518987341772152,0.22916666666666666,0,0,Benign,BEN-030,Normal_Command
17,1,17.0,2.939829017466402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23529411764705882,0.0,0,0,Benign,BEN-031,Normal_Command
18,1,18.0,3.3502090290998976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05555555555555555,0.0,0,0,Benign,BEN-032,Normal_Command
22,1,22.0,3.6589934152538053,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045454545454545456,0.0,0,0,Benign,BEN-033,Normal_Command
34,1,34.0,4.24173085589259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529411764705,0.6470588235294118,0,0,Benign,BEN-034,Normal_Command
13,1,13.0,3.3927474104487847,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.0,0,0,Benign,BEN-035,Normal_Command
6,1,6.0,2.2516291673878226,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.0,0,0,Benign,BEN-036,Normal_Command
81,1,81.0,4.618861232313541,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13580246913580246,0.19607843137254902,0,0,Benign,BEN-037,Normal_Command
82,1,82.0,4.774775102433179,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13414634146341464,0.27906976744186046,0,0,Benign,BEN-038,Normal_Command
68,1,68.0,4.504773003856491,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07352941176470588,0.30952380952380953,0,0,Benign,BEN-039,Normal_Command
38,1,38.0,4.34359782984884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13157894736842105,0.24,0,0,Benign,BEN-040,Normal_Command
73,1,73.0,4.501353586740548,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1643835616438356,0.23255813953488372,0,0,Benign,BEN-041,Normal_Command
29,1,29.0,3.8404025467025056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13793103448275862,0.21052631578947367,0,0,Benign,BEN-042,Normal_Command
35,1,35.0,3.85416328885666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.22727272727272727,0,0,Benign,BEN-043,Normal_Command
32,1,32.0,3.9025182662886326,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.13043478260869565,0,0,Benign,BEN-044,Normal_Command
50,1,50.0,4.105979129983101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.20588235294117646,0,0,Benign,BEN-045,Normal_Command
45,1,45.0,4.444754974579371,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0.2962962962962963,0,0,Benign,BEN-046,Normal_Command
72,1,72.0,4.761269751406731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1527777777777778,0.2619047619047619,0,0,Benign,BEN-047,Normal_Command
34,1,34.0,3.981296944943374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11764705882352941,0.043478260869565216,0,0,Benign,BEN-048,Normal_Command
48,1,48.0,4.344841929151772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.21875,0,0,Benign,BEN-049,Normal_Command
51,1,51.0,4.385195136251016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0784313725490196,0.18421052631578946,0,0,Benign,BEN-050,Normal_Command
25,1,25.0,3.9434651896016457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.2222222222222222,0,0,Benign,BEN-051,Normal_Command
68,1,68.0,4.2655867905257505,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04411764705882353,0.19607843137254902,0,0,Benign,BEN-052,Normal_Command
15,1,15.0,3.7735572622751845,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0.4,0,0,Benign,BEN-053,Normal_Command
26,1,26.0,3.7192945256669785,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11538461538461539,0.3125,0,0,Benign,BEN-054,Normal_Command
48,1,48.0,4.196854365656767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.2,0,0,Benign,BEN-055,Normal_Command
43,1,43.0,4.437210684632777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20930232558139536,0.13043478260869565,0,0,Benign,BEN-056,Normal_Command
42,1,42.0,4.220429781138912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.1,0,0,Benign,BEN-057,Normal_Command
13,1,13.0,3.180832987205441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.0,0,0,Benign,BEN-058,Normal_Command
24,1,24.0,4.1053885422075345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.26666666666666666,0,0,Benign,BEN-059,Normal_Command
23,1,23.0,3.6424896731661263,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,Benign,BEN-060,Normal_Command
10,1,10.0,2.9219280948873623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0,0,Benign,BEN-061,Normal_Command
13,1,13.0,3.0269868333592873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,Benign,BEN-062,Normal_Command
60,1,60.0,4.650489295854282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0.4722222222222222,0,0,Benign,BEN-063,Normal_Command
37,1,37.0,4.371087149178846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10810810810810811,0.17391304347826086,0,0,Benign,BEN-064,Normal_Command
29,1,29.0,4.064203408622267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482758620689655,0.17391304347826086,0,0,Benign,BEN-065,Normal_Command
